"Entity","Code","Year","GDPpc"
"Bulgaria","BGR",1979,9954
"Bulgaria","BGR",1980,9634
"Bulgaria","BGR",1981,9860
"Bulgaria","BGR",1982,10154
"Bulgaria","BGR",1983,9942
"Bulgaria","BGR",1984,10249
"Bulgaria","BGR",1985,9924
"Bulgaria","BGR",1986,10170
"Bulgaria","BGR",1987,10173
"Bulgaria","BGR",1988,10098
"Bulgaria","BGR",1989,9908
"Bulgaria","BGR",1990,8922
"Bulgaria","BGR",1991,8319.673
"Bulgaria","BGR",1992,7846.1157
"Bulgaria","BGR",1993,7959.1636
"Bulgaria","BGR",1994,8212.297
"Bulgaria","BGR",1995,8566.603
"Bulgaria","BGR",1996,7901.1235
"Bulgaria","BGR",1997,7927.429
"Bulgaria","BGR",1998,8322.082
"Bulgaria","BGR",1999,7921.765
"Bulgaria","BGR",2000,8410.795
"Bulgaria","BGR",2001,8832.291
"Bulgaria","BGR",2002,9471.766
"Bulgaria","BGR",2003,10080.783
"Bulgaria","BGR",2004,10853.785
"Bulgaria","BGR",2005,11758.084
"Bulgaria","BGR",2006,12706.182
"Bulgaria","BGR",2007,13785.228
"Bulgaria","BGR",2008,14761.715
"Bulgaria","BGR",2009,14363.259
"Bulgaria","BGR",2010,14686.461
"Bulgaria","BGR",2011,15112
"Bulgaria","BGR",2012,15314.524
"Bulgaria","BGR",2013,15314.154
"Bulgaria","BGR",2014,15550.346
"Bulgaria","BGR",2015,16186.409
"Bulgaria","BGR",2016,16795.824
"Bulgaria","BGR",2017,17386.271
"Bulgaria","BGR",2018,17982.424
"Bulgaria","BGR",2019,18840.764
"China","CHN",1979,1859
"China","CHN",1980,1930
"China","CHN",1981,1962
"China","CHN",1982,2128
"China","CHN",1983,2227
"China","CHN",1984,2444
"China","CHN",1985,2619
"China","CHN",1986,2748
"China","CHN",1987,2931
"China","CHN",1988,3045
"China","CHN",1989,3022
"China","CHN",1990,2982
"China","CHN",1991,3051.3152
"China","CHN",1992,3227.7441
"China","CHN",1993,3506.48
"China","CHN",1994,3730.164
"China","CHN",1995,3999.7292
"China","CHN",1996,4219.644
"China","CHN",1997,4310.828
"China","CHN",1998,4309.847
"China","CHN",1999,4466.7363
"China","CHN",2000,4730.3545
"China","CHN",2001,4995.1445
"China","CHN",2002,5343.1123
"China","CHN",2003,5649.4634
"China","CHN",2004,6067.5913
"China","CHN",2005,6626.592
"China","CHN",2006,7271.0356
"China","CHN",2007,7895.713
"China","CHN",2008,8190.1123
"China","CHN",2009,8734.041
"China","CHN",2010,9658.419
"China","CHN",2011,10221
"China","CHN",2012,10946.834
"China","CHN",2013,11731.295
"China","CHN",2014,12515.198
"China","CHN",2015,13325.432
"China","CHN",2016,14138.955
"China","CHN",2017,15030.447
"China","CHN",2018,15977.008
"China","CHN",2019,16879.54
"Cuba","CUB",1979,4183
"Cuba","CUB",1980,4106
"Cuba","CUB",1981,4420
"Cuba","CUB",1982,4487
"Cuba","CUB",1983,4705
"Cuba","CUB",1984,5051
"Cuba","CUB",1985,5120
"Cuba","CUB",1986,5075
"Cuba","CUB",1987,4887
"Cuba","CUB",1988,4994
"Cuba","CUB",1989,4991
"Cuba","CUB",1990,4713
"Cuba","CUB",1991,3982.2656
"Cuba","CUB",1992,3399.9648
"Cuba","CUB",1993,2657.466
"Cuba","CUB",1994,2683.0984
"Cuba","CUB",1995,2860.7573
"Cuba","CUB",1996,3249.6353
"Cuba","CUB",1997,3425.5618
"Cuba","CUB",1998,3415.5452
"Cuba","CUB",1999,3623.5955
"Cuba","CUB",2000,4009.3398
"Cuba","CUB",2001,4231.3237
